order,chapter_id,letter_number,source_file,source_sha256,translation_file,status,date,source_pages
70,m1-l0070,0070,processed/vol1/ocr/04_source_spine/m1-l0070/chapter.json,aaa583ffd296b4d6a4db6502d97e98417f409974857d7cd516d3f402a9b91763,translations/vol1/m1-l0070.en.md,translated,1973-12-11,m1-p0275;m1-p0276
71,m1-l0071,0071,processed/vol1/ocr/04_source_spine/m1-l0071/chapter.json,15f22209b9387f71f1519550d22fae2b340ee69780b7b57ac3b47be6d3330f3b,translations/vol1/m1-l0071.en.md,translated,1973-12-12,m1-p0277;m1-p0278
72,m1-l0072,0072,processed/vol1/ocr/04_source_spine/m1-l0072/chapter.json,16745d4a39d2c045a1a40035fb987d634063a80734b727fc833c58e1d55d00fc,translations/vol1/m1-l0072.en.md,translated,1973-12-13,m1-p0279;m1-p0280
73,m1-l0073,0073,processed/vol1/ocr/04_source_spine/m1-l0073/chapter.json,5cf2c551a2555067bf3de5f542df1b945695a50477ba484dd1db79cad425d340,translations/vol1/m1-l0073.en.md,translated,1973-12-15,m1-p0281;m1-p0282
74,m1-l0074,0074,processed/vol1/ocr/04_source_spine/m1-l0074/chapter.json,3a720a16c434bcf7809f77f604cda2bd3d33ce2c729ce06c8abb383cfac34d5d,translations/vol1/m1-l0074.en.md,translated,1973-12-16,m1-p0283;m1-p0284
75,m1-l0075,0075,processed/vol1/ocr/04_source_spine/m1-l0075/chapter.json,7a423367a7a27afeeb6200f0d6158aa797b9cadae4d63d79e5b0cae05010c032,translations/vol1/m1-l0075.en.md,translated,1973-12-18,m1-p0285;m1-p0286
76,m1-l0076,0076,processed/vol1/ocr/04_source_spine/m1-l0076/chapter.json,d73945d4515568144195de76fb3cb46d8cedf54f70ffd7f4db250073e4a962f9,translations/vol1/m1-l0076.en.md,translated,1973-12-20,m1-p0287;m1-p0288
77,m1-l0077,0077,processed/vol1/ocr/04_source_spine/m1-l0077/chapter.json,21becdc0f0d710575ba48ee8089bd719f19e589eee6ed0ce7433cee003589389,translations/vol1/m1-l0077.en.md,translated,1973-12-26,m1-p0289;m1-p0290
78,m1-l0078,0078,processed/vol1/ocr/04_source_spine/m1-l0078/chapter.json,afeee46e0bf4ad44c7fbcd1811dae15ac7f1ed3742c98c4ffdedf9ac092e5482,translations/vol1/m1-l0078.en.md,translated,1973-12-28,m1-p0291;m1-p0292
79,m1-l0079,0079,processed/vol1/ocr/04_source_spine/m1-l0079/chapter.json,63d3ca5a05614259f15ca64d95bcfd5ad1c10b722df92c1e10cc46746d2c0940,translations/vol1/m1-l0079.en.md,translated,1974-01-01,m1-p0293;m1-p0294;m1-p0295
80,m1-l0080,0080,processed/vol1/ocr/04_source_spine/m1-l0080/chapter.json,461568295156e0650b5a7eec9f9952f09ce145c4be9bbb0c76e64e482080a001,translations/vol1/m1-l0080.en.md,translated,1974-01-04,m1-p0296;m1-p0297
81,m1-l0081,0081,processed/vol1/ocr/04_source_spine/m1-l0081/chapter.json,397bae3ef8734aa4086081c4dd9bf023b2cbeefc77e624c34072277efa079a02,translations/vol1/m1-l0081.en.md,translated,1974-01-10,m1-p0298;m1-p0299;m1-p0300
82,m1-l0082,0082,processed/vol1/ocr/04_source_spine/m1-l0082/chapter.json,4d6d59a7a97efd9deadfa027aba6e4a3b8018fb5cf9d51ea395ed38944188464,translations/vol1/m1-l0082.en.md,translated,1974-01-14,m1-p0301
83,m1-l0083,0083,processed/vol1/ocr/04_source_spine/m1-l0083/chapter.json,452f7fb6e8c8794ae3d87e79211a9792dc0c81a40d48054f22abc3855a328b81,translations/vol1/m1-l0083.en.md,translated,1974-02-11,m1-p0302;m1-p0303;m1-p0304
84,m1-l0084,0084,processed/vol1/ocr/04_source_spine/m1-l0084/chapter.json,35aa3a2b4786750fb6b05ca4b9706e9a9dc3579b3538786a5b9060d84cd4134f,translations/vol1/m1-l0084.en.md,translated,1974-03-05,m1-p0305;m1-p0306;m1-p0307
85,m1-l0085,0085,processed/vol1/ocr/04_source_spine/m1-l0085/chapter.json,d6a9fea5d573861a58bd1b6c21e9cacccfcb2c0ca524fa6afff09b5c35113e3b,translations/vol1/m1-l0085.en.md,translated,1974-03-19,m1-p0308;m1-p0309
86,m1-l0086,0086,processed/vol1/ocr/04_source_spine/m1-l0086/chapter.json,c8a7524b256090451bf473ee59b8fd78d25b34e423fea0c4611d5f10c036b45a,translations/vol1/m1-l0086.en.md,translated,1974-05-01,m1-p0310;m1-p0311;m1-p0312
87,m1-l0087,0087,processed/vol1/ocr/04_source_spine/m1-l0087/chapter.json,9445c4197769c26c510fb8bb6cf3d6aede6abde146a0bd084bb996f5e17e18b8,translations/vol1/m1-l0087.en.md,translated,1974-05-10,m1-p0313;m1-p0314;m1-p0315
88,m1-l0088,0088,processed/vol1/ocr/04_source_spine/m1-l0088/chapter.json,eee07721742fa73753acfc1f64035bd8cf40b7e7ac68d75054718e5330e1a8a9,translations/vol1/m1-l0088.en.md,translated,1974-05-15,m1-p0316;m1-p0317;m1-p0318
89,m1-l0089,0089,processed/vol1/ocr/04_source_spine/m1-l0089/chapter.json,69aaaf905d6bd6a9a35957cfa88ee1c12d3db5a4ecda89e03946dc10d682f671,translations/vol1/m1-l0089.en.md,translated,1974-05-18,m1-p0319;m1-p0320;m1-p0321
90,m1-l0090,0090,processed/vol1/ocr/04_source_spine/m1-l0090/chapter.json,e03911718c84b8dd72c2cb3d7811d99b4f9d856ee4dda68131c4ac008db69a98,translations/vol1/m1-l0090.en.md,translated,1974-06-05,m1-p0322;m1-p0323;m1-p0324;m1-p0325
91,m1-l0091,0091,processed/vol1/ocr/04_source_spine/m1-l0091/chapter.json,848cfb69b5810f231c57c7fe7630128c56d7af725cb9dcb2686ed46c64bddad1,translations/vol1/m1-l0091.en.md,translated,1974-06-16,m1-p0326;m1-p0327
92,m1-l0092,0092,processed/vol1/ocr/04_source_spine/m1-l0092/chapter.json,13fcecbf0847a7f51ae839cec35212689953a2e0c572214d04580b345cc673bd,translations/vol1/m1-l0092.en.md,translated,1974-06-23,m1-p0328;m1-p0329
93,m1-l0093,0093,processed/vol1/ocr/04_source_spine/m1-l0093/chapter.json,3832a7f6cb8b224e22ef0835db3366bcede76df6156e3af8a44547b5804f632f,translations/vol1/m1-l0093.en.md,translated,1974-07-28,m1-p0330;m1-p0331;m1-p0332;m1-p0333;m1-p0334
94,m1-l0094,0094,processed/vol1/ocr/04_source_spine/m1-l0094/chapter.json,6edf125ffef2bfaf03d063eca11ebc2f3bf3bd6ee52fddb9724afd7eca5b11d0,translations/vol1/m1-l0094.en.md,translated,1974-08-04,m1-p0335;m1-p0336;m1-p0337;m1-p0338
95,m1-l0095,0095,processed/vol1/ocr/04_source_spine/m1-l0095/chapter.json,21059d1d3591b51eb2fa51d369b884e388bae1a35fd0f0df0a7bfc342e7fecde,translations/vol1/m1-l0095.en.md,translated,1974-08-11,m1-p0339;m1-p0340;m1-p0341;m1-p0342
96,m1-l0096,0096,processed/vol1/ocr/04_source_spine/m1-l0096/chapter.json,e28379f4b24e623086f54133ff89823a482941c85cc44c3c7dd2414b55f28216,translations/vol1/m1-l0096.en.md,translated,1974-09-01,m1-p0343;m1-p0344
97,m1-l0097,0097,processed/vol1/ocr/04_source_spine/m1-l0097/chapter.json,29e10a4ec7ceadfdfc14f1597e0f8aa3bb5350804ded2d85be8ca1e04e4096fa,translations/vol1/m1-l0097.en.md,translated,1974-09-08,m1-p0345;m1-p0346
98,m1-l0098,0098,processed/vol1/ocr/04_source_spine/m1-l0098/chapter.json,f8bdd1d95e5373b75b9399b4ac45e43a0feb597a428f68931f1550bd44992608,translations/vol1/m1-l0098.en.md,translated,1974-09-15,m1-p0347;m1-p0348;m1-p0349;m1-p0350
99,m1-l0099,0099,processed/vol1/ocr/04_source_spine/m1-l0099/chapter.json,b41a893fb66c713c0bbcbf803e09c5c53f1560daff1d1f50db0755c1eb6f866b,translations/vol1/m1-l0099.en.md,translated,1974-09-22,m1-p0351;m1-p0352;m1-p0353
100,m1-l0100,0100,processed/vol1/ocr/04_source_spine/m1-l0100/chapter.json,b0c04d117deb6c273f84a7a9d7e6a8b3a792e8bdd61f0bd9f8ba51508094bac0,translations/vol1/m1-l0100.en.md,translated,1974-09-25,m1-p0354;m1-p0355;m1-p0356;m1-p0357;m1-p0358
